State,Indian,Foreign,Discharged,Death,Confirmed,Active
Andhra Pradesh,7,0,0,0,7,7
Bihar,2,0,0,1,3,1
Chhattisgarh,1,0,0,0,1,1
Delhi,30,1,6,1,38,24
Gujarat,29,0,0,1,30,28
Haryana,12,14,11,0,37,15
Himachal Pradesh,3,0,0,1,4,2
Karnataka,37,0,2,1,40,34
Kerala,87,8,4,0,99,91
Madhya Pradesh,7,0,0,0,7,7
Maharashtra,84,3,0,2,89,85
Odisha,2,0,0,0,2,2
Puducherry,1,0,0,0,1,1
Punjab,21,0,0,1,22,20
Rajasthan,31,2,3,0,36,30
Tamil Nadu,10,2,1,0,13,11
Telengana,22,10,1,0,33,31
Chandigarh,6,0,0,0,6,6
Jammu and Kashmir,4,0,0,0,4,4
Ladakh,13,0,0,0,13,13
Uttar Pradesh,32,1,9,0,42,24
Uttarakhand,3,0,0,0,3,3
West Bengal,7,0,0,1,8,6
